branch,rating,count
Beckton Branch,1,3
Beckton Branch,2,3
Beckton Branch,3,5
Beckton Branch,4,10
Beckton Branch,5,8
Custom House Branch,1,4
Custom House Branch,2,5
Custom House Branch,3,2
Custom House Branch,4,12
Custom House Branch,5,8
East Ham Branch,1,2
East Ham Branch,2,3
East Ham Branch,3,6
East Ham Branch,4,9
East Ham Branch,5,7
Manor Park Branch,1,5
Manor Park Branch,2,2
Manor Park Branch,3,5
Manor Park Branch,4,7
Manor Park Branch,5,7
North Woolwich Branch,1,7
North Woolwich Branch,2,3
North Woolwich Branch,3,3
North Woolwich Branch,4,7
North Woolwich Branch,5,7
Plaistow Branch,1,7
Plaistow Branch,2,5
Plaistow Branch,3,2
Plaistow Branch,4,7
Plaistow Branch,5,11
Stratford Branch,1,2
Stratford Branch,2,3
Stratford Branch,3,4
Stratford Branch,4,12
Stratford Branch,5,7
